contrastive,env_steps,iter,kl,mode,recon,return,reward,seed
,48960,50,1.9926139116287231,no-recon (MuZero style),,-40.472679138183594,0.003537063952535391,2
,53760,55,1.8229211568832397,no-recon (MuZero style),,-40.0189208984375,0.002426368882879615,2
,57600,59,1.853127121925354,no-recon (MuZero style),,-40.38756561279297,0.003427926218137145,2
2.807642698287964,960,0,0.7621301412582397,contrastive,,-39.9129638671875,0.14779548346996307,2
1.779858112335205,5760,5,2.102099657058716,contrastive,,-38.40150451660156,0.027665114030241966,2
1.750817894935608,10560,10,2.327601194381714,contrastive,,-38.1262321472168,0.012462840415537357,2
1.674024224281311,15360,15,2.466830015182495,contrastive,,-28.600852966308594,0.006991156842559576,2
1.6747856140136719,20160,20,2.9207489490509033,contrastive,,-36.60275650024414,0.00907796248793602,2
1.659958004951477,24960,25,3.103597402572632,contrastive,,-40.90199279785156,0.008738062344491482,2
1.6671110391616821,29760,30,3.1173713207244873,contrastive,,-40.899742126464844,0.005809165071696043,2
1.729749321937561,34560,35,2.439032793045044,contrastive,,-40.90896987915039,0.006469563581049442,2
1.7799460887908936,39360,40,2.641136646270752,contrastive,,-40.90879440307617,0.0029104731511324644,2
1.7301520109176636,44160,45,2.7313485145568848,contrastive,,-40.91615295410156,0.0023560470435768366,2
1.7006012201309204,48960,50,2.7452619075775146,contrastive,,-40.91444396972656,0.0020872780587524176,2
1.6760947704315186,53760,55,2.6012113094329834,contrastive,,-40.91522216796875,0.0020727990195155144,2
1.6483556032180786,57600,59,2.666989803314209,contrastive,,-40.917484283447266,0.0024490838404744864,2
,960,0,,model-free (recurrent PG),,-33.84079360961914,,2
,10560,10,,model-free (recurrent PG),,-38.945091247558594,,2
,20160,20,,model-free (recurrent PG),,-35.521915435791016,,2
,29760,30,,model-free (recurrent PG),,-33.188514709472656,,2
,39360,40,,model-free (recurrent PG),,-37.60945510864258,,2
,48960,50,,model-free (recurrent PG),,-40.659053802490234,,2
,58560,60,,model-free (recurrent PG),,-35.893699645996094,,2
,68160,70,,model-free (recurrent PG),,-36.68550109863281,,2
,77760,80,,model-free (recurrent PG),,-36.49932861328125,,2
,87360,90,,model-free (recurrent PG),,-34.326332092285156,,2
,96960,100,,model-free (recurrent PG),,-34.79961395263672,,2
,106560,110,,model-free (recurrent PG),,-37.2566032409668,,2
,116160,120,,model-free (recurrent PG),,-38.100399017333984,,2
,125760,130,,model-free (recurrent PG),,-37.100799560546875,,2
,135360,140,,model-free (recurrent PG),,-38.55156326293945,,2
,144960,150,,model-free (recurrent PG),,-36.01188278198242,,2
,154560,160,,model-free (recurrent PG),,-39.608665466308594,,2
,164160,170,,model-free (recurrent PG),,-37.1374397277832,,2
,173760,180,,model-free (recurrent PG),,-33.09373092651367,,2
,183360,190,,model-free (recurrent PG),,-34.58863067626953,,2
,192960,200,,model-free (recurrent PG),,-40.09879684448242,,2
,202560,210,,model-free (recurrent PG),,-37.58943176269531,,2
,212160,220,,model-free (recurrent PG),,-36.26942443847656,,2
,221760,230,,model-free (recurrent PG),,-33.795143127441406,,2
,231360,240,,model-free (recurrent PG),,-34.144203186035156,,2
,240960,250,,model-free (recurrent PG),,-38.990562438964844,,2
,250560,260,,model-free (recurrent PG),,-36.23143768310547,,2
,260160,270,,model-free (recurrent PG),,-35.500732421875,,2
,269760,280,,model-free (recurrent PG),,-35.32476806640625,,2
,279360,290,,model-free (recurrent PG),,-37.192039489746094,,2
,288960,300,,model-free (recurrent PG),,-39.19038009643555,,2
,298560,310,,model-free (recurrent PG),,-37.830238342285156,,2
,308160,320,,model-free (recurrent PG),,-33.88139343261719,,2
,317760,330,,model-free (recurrent PG),,-32.61531066894531,,2
,327360,340,,model-free (recurrent PG),,-37.22959899902344,,2
,336960,350,,model-free (recurrent PG),,-37.18318557739258,,2
,346560,360,,model-free (recurrent PG),,-37.80039978027344,,2
,356160,370,,model-free (recurrent PG),,-35.96949005126953,,2
,365760,380,,model-free (recurrent PG),,-39.479061126708984,,2
,375360,390,,model-free (recurrent PG),,-35.74496078491211,,2
,384000,399,,model-free (recurrent PG),,-35.07525634765625,,2
