mode,reward_mae,seed,step
no-recon (MuZero style),0.3293968737125397,0,22
no-recon (MuZero style),0.3305271565914154,0,23
no-recon (MuZero style),0.3235710859298706,0,24
no-recon (MuZero style),0.30835649371147156,0,25
no-recon (MuZero style),0.2891571819782257,0,26
no-recon (MuZero style),0.28274789452552795,0,27
no-recon (MuZero style),0.2906584143638611,0,28
no-recon (MuZero style),0.30105459690093994,0,29
no-recon (MuZero style),0.30675074458122253,0,30
no-recon (MuZero style),0.3096022307872772,0,31
no-recon (MuZero style),0.3087161183357239,0,32
no-recon (MuZero style),0.2976107597351074,0,33
no-recon (MuZero style),0.28570839762687683,0,34
no-recon (MuZero style),0.2786787152290344,0,35
no-recon (MuZero style),0.26753363013267517,0,36
no-recon (MuZero style),0.2638639807701111,0,37
no-recon (MuZero style),0.270375519990921,0,38
no-recon (MuZero style),0.27941739559173584,0,39
no-recon (MuZero style),0.2883654832839966,0,40
contrastive,0.06311248242855072,0,1
contrastive,0.06869371235370636,0,2
contrastive,0.07967226207256317,0,3
contrastive,0.09155796468257904,0,4
contrastive,0.09982562065124512,0,5
contrastive,0.10463307797908783,0,6
contrastive,0.11281105875968933,0,7
contrastive,0.11998139321804047,0,8
contrastive,0.121263787150383,0,9
contrastive,0.13549424707889557,0,10
contrastive,0.14777378737926483,0,11
contrastive,0.16104641556739807,0,12
contrastive,0.18275366723537445,0,13
contrastive,0.19405987858772278,0,14
contrastive,0.2047128975391388,0,15
contrastive,0.2174278199672699,0,16
contrastive,0.23061475157737732,0,17
contrastive,0.25370079278945923,0,18
contrastive,0.2824955880641937,0,19
contrastive,0.29535919427871704,0,20
contrastive,0.3015929162502289,0,21
contrastive,0.2945750057697296,0,22
contrastive,0.28933513164520264,0,23
contrastive,0.27716824412345886,0,24
contrastive,0.2774971127510071,0,25
contrastive,0.2878071963787079,0,26
contrastive,0.29038363695144653,0,27
contrastive,0.30158695578575134,0,28
contrastive,0.30779245495796204,0,29
contrastive,0.3141794204711914,0,30
contrastive,0.30677351355552673,0,31
contrastive,0.2972962260246277,0,32
contrastive,0.3007304072380066,0,33
contrastive,0.3139090836048126,0,34
contrastive,0.332846462726593,0,35
contrastive,0.34406358003616333,0,36
contrastive,0.3537166118621826,0,37
contrastive,0.3607009947299957,0,38
contrastive,0.3669346570968628,0,39
contrastive,0.36483997106552124,0,40
recon (Dreamer style),0.03602838143706322,1,1
recon (Dreamer style),0.03424481302499771,1,2
recon (Dreamer style),0.03651829808950424,1,3
recon (Dreamer style),0.04098835214972496,1,4
recon (Dreamer style),0.04549821466207504,1,5
recon (Dreamer style),0.04663078114390373,1,6
recon (Dreamer style),0.050311341881752014,1,7
recon (Dreamer style),0.048785287886857986,1,8
recon (Dreamer style),0.056840091943740845,1,9
recon (Dreamer style),0.06991148740053177,1,10
recon (Dreamer style),0.0851672813296318,1,11
recon (Dreamer style),0.09011676162481308,1,12
recon (Dreamer style),0.09851977229118347,1,13
recon (Dreamer style),0.11216150969266891,1,14
recon (Dreamer style),0.12229141592979431,1,15
recon (Dreamer style),0.1265636533498764,1,16
recon (Dreamer style),0.13151098787784576,1,17
recon (Dreamer style),0.13276299834251404,1,18
recon (Dreamer style),0.15268930792808533,1,19
recon (Dreamer style),0.17225909233093262,1,20
recon (Dreamer style),0.18178528547286987,1,21
recon (Dreamer style),0.2003939151763916,1,22
recon (Dreamer style),0.20995447039604187,1,23
recon (Dreamer style),0.2007969617843628,1,24
recon (Dreamer style),0.1817365288734436,1,25
